Category:,Adapter,,,,,,
Name,Manufacturer,"Weight, g",Material,Wiki,Website,Website lang,Image
HF161 filter adapter,-,-,Duralumin,-,-,-,https://drive.google.com/open?id=152HXmvD-dDMCCn4INV_g2TrDZYmPOHh0
W75/3 filter adapter,-,-,Duralumin,-,-,-,https://drive.google.com/open?id=1hH-g09_qf1uzItXxWquDtnuJOMWcDU2Z
