Category:,Car,,,,,,,,,
Name,Manufacturer,Production,"Max speed, km/h","Weight, kg","Fuel capacity, L",Engine,Gearbox,Generator,Wiki,Image
ZAZ-965,ZAZ,1960-1969,90,665,30,965-1000300,-,-,https://ru.wikipedia.org/wiki/%D0%97%D0%90%D0%97-965,https://drive.google.com/open?id=1Zs49TxA4_LMPY2GCTcP4oT3i0OFC0BVs
