Category:,Frame and wheels,,,Replacer,Image
Name,Wheel,Bearing,Seal,-,-
Frame M-72 type,Wheel M-72 type (4),7787007 (Steering head - 2),-,-,-
Frame M-72M type,Wheel M-72M type (4),7787007 (Steering head - 2),-,-,-
Frame M-72N type,Wheel M-72N type (4),7787007 (Steering head - 2);  Needle 2.5x10 (Front fork levers - 120),"Felt seal 6mm thickness (Steering head, upper - 1); 51x58x3.5 (Steering head, lower - 1)",-,-
Frame K-750 type,Wheel M-72N type (4),7787007 (Steering head - 2);  Needle 2.5x10 (Front fork levers - 120),"Felt seal 6mm thickness (Steering head, upper - 1); 51x58x3.5 (Steering head, lower - 1)",-,-
Frame K-750M type,Wheel K-750M type (4),7787007 (Steering head - 2),"Felt seal 6mm thickness (Steering head, upper - 1); 51x58x3.5 (Steering head, lower - 1)",-,-
Frame M-67 type,Wheel M-72M type (4),7787007 (Steering head - 2),51x59.5x5 (Steering head - 2),-,-
