Category:,Moped,,,,,,,
Name,Manufacturer,Production,"Max speed, km/h","Weight, kg","Fuel capacity, L",Engine,Wiki,Image
К1-Б Киевлянин,KMZ,1946-1955,50,59,8,-,https://ru.wikipedia.org/wiki/%D0%9A-1%D0%91_%C2%AB%D0%9A%D0%B8%D0%B5%D0%B2%D0%BB%D1%8F%D0%BD%D0%B8%D0%BD%C2%BB,http://mopedmuseum.ru/wp-content/uploads/2016/09/1999-tm-01-1.jpg
